trigger,count,euler_1,euler_2,euler_3,gx,gy,gz,ax,ay,az,year,month,day,hour,minute,second,millisecond,trigger,count,euler_1,euler_2,euler_3,gx,gy,gz,ax,ay,az,year,month,day,hour,minute,second,millisecond
0,0,100.5428772,-17.97727966,19.93458748,0.9675918221,0.04314654693,0.1467609704,1.19064486,3.313844919,0.3122856617,1905,6,14,11,54,16,161070,0,0,115.4200363,-35.04389954,70.97754669,0.8915272355,0.3256305456,0.1558636725,0,0,0,1905,6,24,10,41,40,245014
0,1,100.5210114,-17.98849487,19.94934082,0.9725577831,0.04183654487,0.1537357718,1.577418804,3.244343042,-8.008000374,1905,6,14,11,54,16,201072,0,1,115.4088974,-35.06452179,70.98025513,0.8941919208,0.3111014366,0.1607105583,2.118902445,0.2905176878,-1.028586984,1905,6,24,10,41,40,285026
0,2,100.5183716,-18.00963593,19.95597458,0.9689241648,0.04136018082,0.1497163922,0.6491612792,1.958560228,0.6217178106,1905,6,14,11,54,16,241072,0,2,115.3984299,-35.08662033,70.98194885,0.8951608539,0.3159841895,0.1577551365,1.770805836,0.2905176878,-0.4441040158,1905,6,24,10,41,40,366992
0,3,100.5144958,-18.02908897,19.96545601,0.9652904868,0.04529018328,0.1493617445,1.654773593,2.445072651,-0.06590917706,1905,6,14,11,54,16,282221,0,3,115.3863602,-35.10918045,70.98260498,0.8946763873,0.3153887093,0.1534993351,0.9199030399,-0.2307455987,-0.375341326,1905,6,24,10,41,40,409081
0,4,100.5110092,-18.04627228,19.97380638,0.9723155499,0.04648109525,0.1474702656,1.19064486,3.383346558,-0.2721972764,1905,6,14,11,54,16,322226,0,4,115.3733215,-35.12996292,70.98491669,0.891163826,0.328012377,0.15078035,1.306676984,-0.2307455987,-1.028586984,1905,6,24,10,41,40,449102
0,5,100.5100784,-18.06423759,19.98108864,0.9758281112,0.05434110388,0.1464063227,1.035935283,3.418097496,0.9311499,1905,6,14,11,54,16,362998,0,5,115.3616333,-35.15076065,70.98825836,0.9013381004,0.3168178201,0.1529082507,2.118902445,0.1862650365,-0.9254428744,1905,6,24,10,41,40,489105
0,6,100.509903,-18.08584213,19.98887062,0.9713465571,0.04636200517,0.1519625187,1.422709227,2.097563744,1.584395528,1905,6,14,11,54,16,407064,0,6,115.3520737,-35.17331314,70.98779297,0.8963720798,0.3125305474,0.1558636725,1.113290071,0.5337738991,-0.1346718818,1905,6,24,10,41,40,529280
0,7,100.5093002,-18.10540199,19.99825096,0.97158885,0.03743017465,0.1542086303,2.080224991,2.862083197,1.171819329,1905,6,14,11,54,16,487070,0,7,115.3434982,-35.19564438,70.98761749,0.8991578817,0.3233678341,0.1540904194,1.422709227,0.9507845044,0.03723486513,1905,6,24,10,41,40,571987
0,8,100.5066376,-18.12600708,20.00758934,0.9711043239,0.03778744861,0.1537357718,1.770805836,2.16706562,0.4841924012,1905,6,14,11,54,16,528985,0,8,115.3343506,-35.21855545,70.9888382,0.8979466558,0.3231296539,0.1562183201,1.886837959,0.6727774143,0.1747602522,1905,6,24,10,41,40,611987
0,9,100.5041275,-18.15019226,20.01597404,0.9786139131,0.04219381511,0.15078035,1.384031773,0.7770301104,1.103056669,1905,6,14,11,54,16,568992,0,9,115.3232956,-35.2433815,70.99094391,0.9036394358,0.3074096143,0.1576369256,1.848160625,-0.2307455987,0.552955091,1905,6,24,10,41,40,652238
0,10,100.5007706,-18.17374992,20.0258255,0.9725577831,0.03957381472,0.1456970125,1.848160625,0.9160336256,0.7248618007,1905,6,14,11,54,16,609088,0,10,115.3124237,-35.26919556,70.99143219,0.9025493264,0.3141978085,0.1597648263,1.229322195,-0.3349982798,0.9311499,1905,6,24,10,41,40,693994
0,11,100.4956055,-18.19523621,20.03806686,0.9680762887,0.03766835481,0.1465245336,2.660385847,1.472047806,-0.3065786064,1905,6,14,11,54,16,649099,0,11,115.3011932,-35.29454422,70.99666595,0.8973410726,0.3203905523,0.1532628983,2.931127548,-0.3349982798,0.7936245203,1905,6,24,10,41,40,734002
0,12,100.4921188,-18.21481705,20.04827118,0.9723155499,0.04088381678,0.1414412111,1.964192748,2.445072651,0.07161621004,1905,6,14,11,54,16,689106,0,12,115.2891922,-35.31835938,71.00154114,0.892375052,0.318127811,0.1551543772,2.699063301,-0.3349982798,0.2091416121,1905,6,24,10,41,40,774011
0,13,100.4874649,-18.23575401,20.05875206,0.9755858779,0.04314654693,0.1419140697,1.964192748,1.750054955,-0.2034345716,1905,6,14,11,54,16,729110,0,13,115.2767258,-35.34220505,71.00669861,0.9021859765,0.3138405383,0.1512532085,2.621708393,-0.5087527037,0.07161621004,1905,6,24,10,41,40,816269
0,14,100.4849548,-18.25915146,20.06780815,0.968318522,0.03981199488,0.1446330696,1.616096258,1.089788079,1.034294009,1905,6,14,11,54,16,769118,0,14,115.2645874,-35.36629105,71.01142883,0.8996424079,0.3046705127,0.1552725881,2.621708393,-0.4740018249,0.1403789073,1905,6,24,10,41,40,858999
0,15,100.481514,-18.28160095,20.07483292,0.9712254405,0.03921654075,0.1449877173,0.6878386736,1.333044291,0.518573761,1905,6,14,11,54,16,810024,0,15,115.2532501,-35.39094925,71.01157379,0.8978255391,0.3155077994,0.1565729678,0.9199030399,-0.3349982798,0.4498110414,1905,6,24,10,41,40,904007
0,16,100.4770813,-18.30166054,20.08180428,0.9700142145,0.04112199694,0.1446330696,0.4944516718,2.132314682,-0.1690532267,1905,6,14,11,54,16,850027,0,16,115.240036,-35.41455078,71.01390839,0.8989156485,0.3191996217,0.1516078562,1.306676984,-0.6825071573,0.002853517653,1905,6,24,10,41,40,944011
0,17,100.473938,-18.32489586,20.0874157,0.9711043239,0.04219381511,0.1455788016,0.1463550776,1.055037141,0.7248618007,1905,6,14,11,54,16,890029,0,17,115.2275543,-35.43843842,71.01660156,0.8975833058,0.3027650714,0.1570458412,1.770805836,-0.5782544613,0.002853517653,1905,6,24,10,41,40,984016
0,18,100.4736252,-18.35041046,20.09089661,0.9751013517,0.04088381678,0.1443966329,-0.3951284885,0.5337738991,1.962590337,1905,6,14,11,54,16,932019,0,18,115.2167969,-35.46259689,71.01515198,0.8977044225,0.3102678061,0.1562183201,0.4944516718,-0.02224028297,0.4154296815,1905,6,24,10,41,41,24028
0,19,100.4742355,-18.3803997,20.09067726,0.9602033496,0.05112564564,0.155390799,-1.826192141,-1.099517822,3.097174883,1905,6,14,11,54,16,972019,0,19,115.2052536,-35.4870491,71.01293945,0.8997635245,0.3062187135,0.1545632929,-0.008354506455,-0.300247401,0.4154296815,1905,6,24,10,41,41,40013
0,20,100.4720612,-18.40804482,20.09266281,0.9604455829,0.03874017671,0.1605923474,-1.168676376,-0.5435035825,1.653158188,1905,6,14,11,54,17,12068,0,20,115.1930542,-35.51170349,71.01229095,0.8893470168,0.3119350672,0.1607105583,0.6104838252,-0.5087527037,0.552955091,1905,6,24,10,41,41,120980
